+--------------------+-----------+---------------+----------------+--------------+
|        Word        | Term Freq | Document Freq | Adjacency Freq | Keyword Freq |
+--------------------+-----------+---------------+----------------+--------------+
|        the         |    7514   |      741      |      741       |      1       |
|         by         |    252    |      118      |      118       |      1       |
|     supplying      |     1     |       1       |       1        |      0       |
|        that        |    360    |      152      |      152       |      0       |
|        pick        |     1     |       1       |       1        |      0       |
|        does        |     6     |       6       |       6        |      0       |
|      explain       |     1     |       1       |       1        |      0       |
|        pure        |     5     |       5       |       5        |      0       |
|        one         |     27    |       19      |       19       |      2       |
|         of         |    4824   |      712      |      712       |      64      |
|         is         |    1001   |      315      |      315       |      2       |
|      instead       |     10    |       9       |       9        |      0       |
|        with        |    602    |      256      |      256       |      2       |
|        for         |    1369   |      455      |      455       |      3       |
|         in         |    1843   |      490      |      490       |      13      |
|      provide       |     9     |       9       |       9        |      0       |
|        are         |    447    |      204      |      204       |      0       |
|    consequently    |     5     |       5       |       5        |      0       |
|    contemporary    |     2     |       2       |       2        |      0       |
|      concerns      |     2     |       2       |       2        |      0       |
|        such        |     66    |       40      |       40       |      0       |
|         as         |    311    |      159      |      159       |      0       |
|        and         |    2949   |      642      |      642       |      23      |
|         it         |    123    |       68      |       68       |      1       |
|      contents      |     2     |       1       |       1        |      0       |
|      conflict      |     2     |       1       |       1        |      0       |
|         on         |    393    |      184      |      184       |      6       |
|     conception     |     2     |       1       |       1        |      0       |
|         we         |    433    |      164      |      164       |      0       |
|        had         |     5     |       4       |       4        |      0       |
|      evolved       |     1     |       1       |       1        |      0       |
|         a          |    2532   |      507      |      507       |      4       |
|       second       |     7     |       4       |       4        |      0       |
|     themselves     |     4     |       4       |       4        |      0       |
|    specifically    |     3     |       3       |       3        |      0       |
|         an         |    371    |      187      |      187       |      0       |
|    identifiable    |     1     |       1       |       1        |      0       |
|        this        |    291    |      152      |      152       |      0       |
|        play        |     4     |       4       |       4        |      0       |
|         or         |     97    |       60      |       60       |      0       |
|      predict       |     2     |       2       |       2        |      0       |
|    morgenstern     |     1     |       1       |       1        |      0       |
|      settings      |     1     |       1       |       1        |      0       |
|      however       |     30    |       26      |       26       |      0       |
|       where        |     23    |       22      |       22       |      0       |
|    satisficing     |     1     |       1       |       1        |      0       |
|      whereby       |     1     |       1       |       1        |      0       |
|     construct      |     9     |       7       |       7        |      0       |
